,language,year,month,answer_count
0,c,2008,08,478
1,c,2008,09,1656
2,c,2008,10,1205
3,c,2008,11,901
4,c,2008,12,732
5,c,2009,01,1334
6,c,2009,02,1315
7,c,2009,03,1596
8,c,2009,04,1623
9,c,2009,05,1555
10,c,2009,06,1808
11,c,2009,07,1850
12,c,2009,08,1856
13,c,2009,09,1870
14,c,2009,10,2466
15,c,2009,11,3437
16,c,2009,12,2555
17,c,2010,01,2931
18,c,2010,02,2916
19,c,2010,03,2986
20,c,2010,04,3084
21,c,2010,05,2849
22,c,2010,06,2886
23,c,2010,07,3368
24,c,2010,08,3534
25,c,2010,09,3430
26,c,2010,10,3736
27,c,2010,11,4092
28,c,2010,12,3293
29,c,2011,01,3171
30,c,2011,02,3725
31,c,2011,03,4796
32,c,2011,04,4499
33,c,2011,05,3976
34,c,2011,06,3573
35,c,2011,07,3534
36,c,2011,08,3955
37,c,2011,09,4100
38,c,2011,10,4420
39,c,2011,11,4627
40,c,2011,12,4123
41,c,2012,01,4780
42,c,2012,02,4811
43,c,2012,03,5290
44,c,2012,04,4906
45,c,2012,05,4470
46,c,2012,06,4366
47,c,2012,07,4473
48,c,2012,08,4312
49,c,2012,09,4793
50,c,2012,10,5807
51,c,2012,11,5711
52,c,2012,12,4645
53,c,2013,01,5245
54,c,2013,02,5313
55,c,2013,03,6150
56,c,2013,04,5921
57,c,2013,05,5536
58,c,2013,06,5237
59,c,2013,07,5353
60,c,2013,08,5468
61,c,2013,09,5820
62,c,2013,10,7203
63,c,2013,11,6808
64,c,2013,12,5701
65,c,2014,01,6226
66,c,2014,02,6498
67,c,2014,03,7184
68,c,2014,04,6133
69,c,2014,05,4576
70,c,2014,06,3929
71,c,2014,07,4237
72,c,2014,08,4205
73,c,2014,09,4847
74,c,2014,10,5754
75,c,2014,11,5325
76,c,2014,12,4982
77,c,2015,01,4827
78,c,2015,02,4884
79,c,2015,03,5562
80,c,2015,04,5859
81,c,2015,05,5124
82,c,2015,06,4774
83,c,2015,07,4525
84,c,2015,08,3925
85,c,2015,09,4783
86,c,2015,10,5539
87,c,2015,11,5096
88,c,2015,12,4720
89,c,2016,01,5007
90,c,2016,02,5106
91,c,2016,03,4957
92,c,2016,04,4678
93,c,2016,05,3816
94,c,2016,06,3136
95,c,2016,07,3335
96,c,2016,08,3165
97,c,2016,09,334
98,c++,2008,08,1198
99,c++,2008,09,5879
100,c++,2008,10,4987
101,c++,2008,11,3786
102,c++,2008,12,3052
103,c++,2009,01,3891
104,c++,2009,02,4190
105,c++,2009,03,5148
106,c++,2009,04,4832
107,c++,2009,05,5257
108,c++,2009,06,5614
109,c++,2009,07,5919
110,c++,2009,08,5519
111,c++,2009,09,5763
112,c++,2009,10,6508
113,c++,2009,11,6449
114,c++,2009,12,6635
115,c++,2010,01,7302
116,c++,2010,02,8111
117,c++,2010,03,8014
118,c++,2010,04,8093
119,c++,2010,05,7492
120,c++,2010,06,8726
121,c++,2010,07,8270
122,c++,2010,08,8212
123,c++,2010,09,8352
124,c++,2010,10,8767
125,c++,2010,11,10031
126,c++,2010,12,9175
127,c++,2011,01,10314
128,c++,2011,02,9463
129,c++,2011,03,11229
130,c++,2011,04,10887
131,c++,2011,05,10172
132,c++,2011,06,10067
133,c++,2011,07,10058
134,c++,2011,08,10223
135,c++,2011,09,9986
136,c++,2011,10,10485
137,c++,2011,11,10655
138,c++,2011,12,9969
139,c++,2012,01,10382
140,c++,2012,02,11518
141,c++,2012,03,11505
142,c++,2012,04,10910
143,c++,2012,05,9916
144,c++,2012,06,9304
145,c++,2012,07,10648
146,c++,2012,08,10826
147,c++,2012,09,9822
148,c++,2012,10,11824
149,c++,2012,11,11800
150,c++,2012,12,10709
151,c++,2013,01,11556
152,c++,2013,02,11436
153,c++,2013,03,13496
154,c++,2013,04,12958
155,c++,2013,05,12279
156,c++,2013,06,11208
157,c++,2013,07,11866
158,c++,2013,08,11665
159,c++,2013,09,11515
160,c++,2013,10,13574
161,c++,2013,11,13829
162,c++,2013,12,11965
163,c++,2014,01,12932
164,c++,2014,02,12659
165,c++,2014,03,13970
166,c++,2014,04,12897
167,c++,2014,05,10274
168,c++,2014,06,8397
169,c++,2014,07,9483
170,c++,2014,08,8803
171,c++,2014,09,9283
172,c++,2014,10,10204
173,c++,2014,11,9609
174,c++,2014,12,9007
175,c++,2015,01,8834
176,c++,2015,02,9212
177,c++,2015,03,10258
178,c++,2015,04,10300
179,c++,2015,05,9863
180,c++,2015,06,9390
181,c++,2015,07,9739
182,c++,2015,08,8395
183,c++,2015,09,8376
184,c++,2015,10,10125
185,c++,2015,11,9789
186,c++,2015,12,9190
187,c++,2016,01,8510
188,c++,2016,02,9155
189,c++,2016,03,9782
190,c++,2016,04,9555
191,c++,2016,05,8396
192,c++,2016,06,7690
193,c++,2016,07,7283
194,c++,2016,08,6847
195,c++,2016,09,716
196,html,2008,07,5
197,html,2008,08,623
198,html,2008,09,1818
199,html,2008,10,1239
200,html,2008,11,1244
201,html,2008,12,1121
202,html,2009,01,1617
203,html,2009,02,1654
204,html,2009,03,1551
205,html,2009,04,1559
206,html,2009,05,1675
207,html,2009,06,2335
208,html,2009,07,2683
209,html,2009,08,2441
210,html,2009,09,2273
211,html,2009,10,2189
212,html,2009,11,2504
213,html,2009,12,2655
214,html,2010,01,2987
215,html,2010,02,2615
216,html,2010,03,2774
217,html,2010,04,2567
218,html,2010,05,2824
219,html,2010,06,2990
220,html,2010,07,3500
221,html,2010,08,3507
222,html,2010,09,3199
223,html,2010,10,3325
224,html,2010,11,3669
225,html,2010,12,4002
226,html,2011,01,4570
227,html,2011,02,4321
228,html,2011,03,5861
229,html,2011,04,5276
230,html,2011,05,5462
231,html,2011,06,5651
232,html,2011,07,5824
233,html,2011,08,6085
234,html,2011,09,5329
235,html,2011,10,5267
236,html,2011,11,5575
237,html,2011,12,5679
238,html,2012,01,6351
239,html,2012,02,6716
240,html,2012,03,6740
241,html,2012,04,6488
242,html,2012,05,6929
243,html,2012,06,6780
244,html,2012,07,7851
245,html,2012,08,7969
246,html,2012,09,7093
247,html,2012,10,7499
248,html,2012,11,7440
249,html,2012,12,7368
250,html,2013,01,8287
251,html,2013,02,7910
252,html,2013,03,9839
253,html,2013,04,9412
254,html,2013,05,9244
255,html,2013,06,9108
256,html,2013,07,10583
257,html,2013,08,11053
258,html,2013,09,10442
259,html,2013,10,10503
260,html,2013,11,9737
261,html,2013,12,10386
262,html,2014,01,11994
263,html,2014,02,11056
264,html,2014,03,11913
265,html,2014,04,11086
266,html,2014,05,10001
267,html,2014,06,8707
268,html,2014,07,9772
269,html,2014,08,8968
270,html,2014,09,8694
271,html,2014,10,8625
272,html,2014,11,8247
273,html,2014,12,7861
274,html,2015,01,8558
275,html,2015,02,8458
276,html,2015,03,8966
277,html,2015,04,9426
278,html,2015,05,9320
279,html,2015,06,9391
280,html,2015,07,9419
281,html,2015,08,9016
282,html,2015,09,8338
283,html,2015,10,8387
284,html,2015,11,8038
285,html,2015,12,8249
286,html,2016,01,8667
287,html,2016,02,8989
288,html,2016,03,8912
289,html,2016,04,8798
290,html,2016,05,8928
291,html,2016,06,8661
292,html,2016,07,8265
293,html,2016,08,8814
294,html,2016,09,827
295,java,2008,08,1756
296,java,2008,09,7781
297,java,2008,10,6241
298,java,2008,11,4603
299,java,2008,12,4139
300,java,2009,01,5570
301,java,2009,02,5882
302,java,2009,03,6129
303,java,2009,04,6169
304,java,2009,05,7634
305,java,2009,06,8643
306,java,2009,07,8660
307,java,2009,08,7677
308,java,2009,09,7786
309,java,2009,10,8629
310,java,2009,11,9711
311,java,2009,12,9355
312,java,2010,01,12728
313,java,2010,02,11133
314,java,2010,03,13718
315,java,2010,04,11703
316,java,2010,05,12326
317,java,2010,06,11915
318,java,2010,07,12263
319,java,2010,08,13009
320,java,2010,09,12587
321,java,2010,10,13450
322,java,2010,11,14619
323,java,2010,12,14850
324,java,2011,01,17176
325,java,2011,02,17564
326,java,2011,03,21336
327,java,2011,04,19430
328,java,2011,05,20314
329,java,2011,06,18945
330,java,2011,07,19248
331,java,2011,08,20213
332,java,2011,09,19183
333,java,2011,10,19075
334,java,2011,11,21328
335,java,2011,12,20572
336,java,2012,01,22684
337,java,2012,02,23517
338,java,2012,03,26222
339,java,2012,04,24647
340,java,2012,05,24873
341,java,2012,06,22551
342,java,2012,07,24881
343,java,2012,08,25489
344,java,2012,09,23115
345,java,2012,10,27546
346,java,2012,11,25759
347,java,2012,12,24418
348,java,2013,01,26663
349,java,2013,02,25981
350,java,2013,03,30073
351,java,2013,04,30006
352,java,2013,05,27889
353,java,2013,06,25784
354,java,2013,07,27754
355,java,2013,08,28638
356,java,2013,09,29449
357,java,2013,10,34522
358,java,2013,11,33568
359,java,2013,12,31052
360,java,2014,01,32181
361,java,2014,02,32626
362,java,2014,03,35762
363,java,2014,04,32828
364,java,2014,05,27093
365,java,2014,06,23817
366,java,2014,07,26681
367,java,2014,08,24031
368,java,2014,09,25486
369,java,2014,10,27435
370,java,2014,11,26601
371,java,2014,12,24498
372,java,2015,01,24539
373,java,2015,02,24261
374,java,2015,03,28136
375,java,2015,04,29320
376,java,2015,05,27061
377,java,2015,06,25415
378,java,2015,07,26019
379,java,2015,08,23999
380,java,2015,09,23835
381,java,2015,10,25218
382,java,2015,11,23568
383,java,2015,12,22280
384,java,2016,01,22347
385,java,2016,02,24177
386,java,2016,03,26945
387,java,2016,04,25167
388,java,2016,05,21560
389,java,2016,06,19689
390,java,2016,07,18059
391,java,2016,08,18442
392,java,2016,09,1682
393,javascript,2008,08,1175
394,javascript,2008,09,4794
395,javascript,2008,10,4369
396,javascript,2008,11,2856
397,javascript,2008,12,2753
398,javascript,2009,01,3740
399,javascript,2009,02,4052
400,javascript,2009,03,3992
401,javascript,2009,04,4051
402,javascript,2009,05,5484
403,javascript,2009,06,5887
404,javascript,2009,07,6040
405,javascript,2009,08,6375
406,javascript,2009,09,5511
407,javascript,2009,10,6142
408,javascript,2009,11,6974
409,javascript,2009,12,7213
410,javascript,2010,01,7692
411,javascript,2010,02,7356
412,javascript,2010,03,8097
413,javascript,2010,04,8026
414,javascript,2010,05,8350
415,javascript,2010,06,8689
416,javascript,2010,07,9656
417,javascript,2010,08,9783
418,javascript,2010,09,9739
419,javascript,2010,10,10125
420,javascript,2010,11,11461
421,javascript,2010,12,12121
422,javascript,2011,01,13463
423,javascript,2011,02,13379
424,javascript,2011,03,16516
425,javascript,2011,04,16716
426,javascript,2011,05,17138
427,javascript,2011,06,18204
428,javascript,2011,07,18894
429,javascript,2011,08,20717
430,javascript,2011,09,18051
431,javascript,2011,10,17080
432,javascript,2011,11,18868
433,javascript,2011,12,18239
434,javascript,2012,01,20574
435,javascript,2012,02,20934
436,javascript,2012,03,22804
437,javascript,2012,04,21758
438,javascript,2012,05,23155
439,javascript,2012,06,22232
440,javascript,2012,07,23691
441,javascript,2012,08,24421
442,javascript,2012,09,21491
443,javascript,2012,10,23786
444,javascript,2012,11,23078
445,javascript,2012,12,21708
446,javascript,2013,01,25022
447,javascript,2013,02,24598
448,javascript,2013,03,27411
449,javascript,2013,04,27055
450,javascript,2013,05,26244
451,javascript,2013,06,25356
452,javascript,2013,07,29395
453,javascript,2013,08,29739
454,javascript,2013,09,30016
455,javascript,2013,10,33026
456,javascript,2013,11,30064
457,javascript,2013,12,30113
458,javascript,2014,01,35295
459,javascript,2014,02,34607
460,javascript,2014,03,35678
461,javascript,2014,04,33437
462,javascript,2014,05,29790
463,javascript,2014,06,26902
464,javascript,2014,07,29899
465,javascript,2014,08,27314
466,javascript,2014,09,26548
467,javascript,2014,10,27173
468,javascript,2014,11,26182
469,javascript,2014,12,25133
470,javascript,2015,01,26518
471,javascript,2015,02,26840
472,javascript,2015,03,28887
473,javascript,2015,04,31729
474,javascript,2015,05,32595
475,javascript,2015,06,33049
476,javascript,2015,07,34676
477,javascript,2015,08,31953
478,javascript,2015,09,30443
479,javascript,2015,10,30540
480,javascript,2015,11,29963
481,javascript,2015,12,30272
482,javascript,2016,01,32219
483,javascript,2016,02,31588
484,javascript,2016,03,33748
485,javascript,2016,04,33006
486,javascript,2016,05,32315
487,javascript,2016,06,31223
488,javascript,2016,07,30742
489,javascript,2016,08,30934
490,javascript,2016,09,2688
491,matlab,2008,08,1
492,matlab,2008,09,70
493,matlab,2008,10,82
494,matlab,2008,11,28
495,matlab,2008,12,29
496,matlab,2009,01,65
497,matlab,2009,02,87
498,matlab,2009,03,53
499,matlab,2009,04,109
500,matlab,2009,05,90
501,matlab,2009,06,138
502,matlab,2009,07,100
503,matlab,2009,08,70
504,matlab,2009,09,170
505,matlab,2009,10,177
506,matlab,2009,11,298
507,matlab,2009,12,261
508,matlab,2010,01,212
509,matlab,2010,02,271
510,matlab,2010,03,293
511,matlab,2010,04,400
512,matlab,2010,05,434
513,matlab,2010,06,295
514,matlab,2010,07,307
515,matlab,2010,08,313
516,matlab,2010,09,304
517,matlab,2010,10,327
518,matlab,2010,11,283
519,matlab,2010,12,313
520,matlab,2011,01,320
521,matlab,2011,02,492
522,matlab,2011,03,709
523,matlab,2011,04,622
524,matlab,2011,05,471
525,matlab,2011,06,476
526,matlab,2011,07,491
527,matlab,2011,08,439
528,matlab,2011,09,446
529,matlab,2011,10,655
530,matlab,2011,11,700
531,matlab,2011,12,658
532,matlab,2012,01,677
533,matlab,2012,02,873
534,matlab,2012,03,887
535,matlab,2012,04,919
536,matlab,2012,05,800
537,matlab,2012,06,840
538,matlab,2012,07,855
539,matlab,2012,08,921
540,matlab,2012,09,797
541,matlab,2012,10,1130
542,matlab,2012,11,1254
543,matlab,2012,12,958
544,matlab,2013,01,1012
545,matlab,2013,02,1186
546,matlab,2013,03,1377
547,matlab,2013,04,1447
548,matlab,2013,05,1377
549,matlab,2013,06,1218
550,matlab,2013,07,1291
551,matlab,2013,08,1228
552,matlab,2013,09,1230
553,matlab,2013,10,1527
554,matlab,2013,11,1641
555,matlab,2013,12,1350
556,matlab,2014,01,1411
557,matlab,2014,02,1562
558,matlab,2014,03,1829
559,matlab,2014,04,1688
560,matlab,2014,05,1436
561,matlab,2014,06,1213
562,matlab,2014,07,1283
563,matlab,2014,08,1159
564,matlab,2014,09,1257
565,matlab,2014,10,1468
566,matlab,2014,11,1438
567,matlab,2014,12,1122
568,matlab,2015,01,1100
569,matlab,2015,02,1284
570,matlab,2015,03,1459
571,matlab,2015,04,1697
572,matlab,2015,05,1601
573,matlab,2015,06,1246
574,matlab,2015,07,1185
575,matlab,2015,08,1047
576,matlab,2015,09,1006
577,matlab,2015,10,1087
578,matlab,2015,11,1181
579,matlab,2015,12,859
580,matlab,2016,01,895
581,matlab,2016,02,1077
582,matlab,2016,03,1171
583,matlab,2016,04,1005
584,matlab,2016,05,1073
585,matlab,2016,06,935
586,matlab,2016,07,856
587,matlab,2016,08,1007
588,matlab,2016,09,71
589,mysql,2008,08,464
590,mysql,2008,09,1079
591,mysql,2008,10,1065
592,mysql,2008,11,948
593,mysql,2008,12,865
594,mysql,2009,01,1209
595,mysql,2009,02,1156
596,mysql,2009,03,1257
597,mysql,2009,04,1368
598,mysql,2009,05,1503
599,mysql,2009,06,1803
600,mysql,2009,07,2054
601,mysql,2009,08,2420
602,mysql,2009,09,1767
603,mysql,2009,10,2033
604,mysql,2009,11,2645
605,mysql,2009,12,2638
606,mysql,2010,01,3056
607,mysql,2010,02,2507
608,mysql,2010,03,3384
609,mysql,2010,04,3226
610,mysql,2010,05,3318
611,mysql,2010,06,3460
612,mysql,2010,07,3370
613,mysql,2010,08,3591
614,mysql,2010,09,3317
615,mysql,2010,10,3485
616,mysql,2010,11,4109
617,mysql,2010,12,4175
618,mysql,2011,01,5241
619,mysql,2011,02,5211
620,mysql,2011,03,7615
621,mysql,2011,04,7299
622,mysql,2011,05,6750
623,mysql,2011,06,7216
624,mysql,2011,07,7559
625,mysql,2011,08,7939
626,mysql,2011,09,6714
627,mysql,2011,10,6888
628,mysql,2011,11,7724
629,mysql,2011,12,6903
630,mysql,2012,01,7855
631,mysql,2012,02,8074
632,mysql,2012,03,9394
633,mysql,2012,04,8654
634,mysql,2012,05,8816
635,mysql,2012,06,8805
636,mysql,2012,07,9504
637,mysql,2012,08,8866
638,mysql,2012,09,8314
639,mysql,2012,10,8985
640,mysql,2012,11,8627
641,mysql,2012,12,8304
642,mysql,2013,01,9670
643,mysql,2013,02,8901
644,mysql,2013,03,10404
645,mysql,2013,04,9928
646,mysql,2013,05,9243
647,mysql,2013,06,8773
648,mysql,2013,07,9912
649,mysql,2013,08,9865
650,mysql,2013,09,9473
651,mysql,2013,10,9970
652,mysql,2013,11,9578
653,mysql,2013,12,9624
654,mysql,2014,01,10730
655,mysql,2014,02,10291
656,mysql,2014,03,11257
657,mysql,2014,04,10557
658,mysql,2014,05,8922
659,mysql,2014,06,7560
660,mysql,2014,07,8064
661,mysql,2014,08,7337
662,mysql,2014,09,7711
663,mysql,2014,10,8122
664,mysql,2014,11,7670
665,mysql,2014,12,7469
666,mysql,2015,01,7648
667,mysql,2015,02,7254
668,mysql,2015,03,8156
669,mysql,2015,04,8223
670,mysql,2015,05,7712
671,mysql,2015,06,7728
672,mysql,2015,07,8084
673,mysql,2015,08,7451
674,mysql,2015,09,7415
675,mysql,2015,10,7594
676,mysql,2015,11,7165
677,mysql,2015,12,7382
678,mysql,2016,01,7544
679,mysql,2016,02,7442
680,mysql,2016,03,7984
681,mysql,2016,04,7955
682,mysql,2016,05,7880
683,mysql,2016,06,7235
684,mysql,2016,07,6871
685,mysql,2016,08,6640
686,mysql,2016,09,605
687,python,2008,08,934
688,python,2008,09,3714
689,python,2008,10,2795
690,python,2008,11,2231
691,python,2008,12,2127
692,python,2009,01,2954
693,python,2009,02,2928
694,python,2009,03,3234
695,python,2009,04,3056
696,python,2009,05,3897
697,python,2009,06,3926
698,python,2009,07,4205
699,python,2009,08,3856
700,python,2009,09,3950
701,python,2009,10,4678
702,python,2009,11,4942
703,python,2009,12,5037
704,python,2010,01,6036
705,python,2010,02,5203
706,python,2010,03,5950
707,python,2010,04,5074
708,python,2010,05,5099
709,python,2010,06,5506
710,python,2010,07,6761
711,python,2010,08,6433
712,python,2010,09,5514
713,python,2010,10,6640
714,python,2010,11,6598
715,python,2010,12,6307
716,python,2011,01,7042
717,python,2011,02,7213
718,python,2011,03,8737
719,python,2011,04,7596
720,python,2011,05,7843
721,python,2011,06,7529
722,python,2011,07,8018
723,python,2011,08,8362
724,python,2011,09,7444
725,python,2011,10,7503
726,python,2011,11,7848
727,python,2011,12,7436
728,python,2012,01,8891
729,python,2012,02,9106
730,python,2012,03,10366
731,python,2012,04,9557
732,python,2012,05,10013
733,python,2012,06,10185
734,python,2012,07,11141
735,python,2012,08,11029
736,python,2012,09,9788
737,python,2012,10,11395
738,python,2012,11,11499
739,python,2012,12,10222
740,python,2013,01,11437
741,python,2013,02,11474
742,python,2013,03,13001
743,python,2013,04,13307
744,python,2013,05,13091
745,python,2013,06,12604
746,python,2013,07,14602
747,python,2013,08,13166
748,python,2013,09,12962
749,python,2013,10,15546
750,python,2013,11,15508
751,python,2013,12,13645
752,python,2014,01,15535
753,python,2014,02,15232
754,python,2014,03,17138
755,python,2014,04,15898
756,python,2014,05,12897
757,python,2014,06,12459
758,python,2014,07,14151
759,python,2014,08,12863
760,python,2014,09,12255
761,python,2014,10,13349
762,python,2014,11,13916
763,python,2014,12,12998
764,python,2015,01,13742
765,python,2015,02,14200
766,python,2015,03,15967
767,python,2015,04,16378
768,python,2015,05,16288
769,python,2015,06,16210
770,python,2015,07,16950
771,python,2015,08,15226
772,python,2015,09,14832
773,python,2015,10,16889
774,python,2015,11,16337
775,python,2015,12,15623
776,python,2016,01,16428
777,python,2016,02,17933
778,python,2016,03,18908
779,python,2016,04,18173
780,python,2016,05,16867
781,python,2016,06,16364
782,python,2016,07,15811
783,python,2016,08,16182
784,python,2016,09,1357
785,sql,2008,08,1166
786,sql,2008,09,3438
787,sql,2008,10,2738
788,sql,2008,11,1719
789,sql,2008,12,1946
790,sql,2009,01,2665
791,sql,2009,02,2860
792,sql,2009,03,2763
793,sql,2009,04,2783
794,sql,2009,05,3109
795,sql,2009,06,3441
796,sql,2009,07,3725
797,sql,2009,08,3322
798,sql,2009,09,4318
799,sql,2009,10,4621
800,sql,2009,11,3897
801,sql,2009,12,3810
802,sql,2010,01,3589
803,sql,2010,02,3652
804,sql,2010,03,3937
805,sql,2010,04,3466
806,sql,2010,05,3714
807,sql,2010,06,4102
808,sql,2010,07,4706
809,sql,2010,08,4576
810,sql,2010,09,4269
811,sql,2010,10,4438
812,sql,2010,11,4879
813,sql,2010,12,4201
814,sql,2011,01,5089
815,sql,2011,02,4614
816,sql,2011,03,4889
817,sql,2011,04,4002
818,sql,2011,05,4626
819,sql,2011,06,4801
820,sql,2011,07,4497
821,sql,2011,08,4569
822,sql,2011,09,4346
823,sql,2011,10,4081
824,sql,2011,11,4635
825,sql,2011,12,4382
826,sql,2012,01,4502
827,sql,2012,02,4923
828,sql,2012,03,5781
829,sql,2012,04,5251
830,sql,2012,05,5373
831,sql,2012,06,4852
832,sql,2012,07,5537
833,sql,2012,08,5599
834,sql,2012,09,5387
835,sql,2012,10,6065
836,sql,2012,11,5846
837,sql,2012,12,5353
838,sql,2013,01,6379
839,sql,2013,02,6293
840,sql,2013,03,7203
841,sql,2013,04,6923
842,sql,2013,05,6894
843,sql,2013,06,6403
844,sql,2013,07,7748
845,sql,2013,08,7112
846,sql,2013,09,7188
847,sql,2013,10,8016
848,sql,2013,11,7583
849,sql,2013,12,6961
850,sql,2014,01,7907
851,sql,2014,02,7730
852,sql,2014,03,8112
853,sql,2014,04,8346
854,sql,2014,05,7287
855,sql,2014,06,6814
856,sql,2014,07,7459
857,sql,2014,08,6875
858,sql,2014,09,6591
859,sql,2014,10,5987
860,sql,2014,11,5109
861,sql,2014,12,4834
862,sql,2015,01,5157
863,sql,2015,02,5134
864,sql,2015,03,5791
865,sql,2015,04,6122
866,sql,2015,05,5789
867,sql,2015,06,6032
868,sql,2015,07,5976
869,sql,2015,08,5643
870,sql,2015,09,5220
871,sql,2015,10,5307
872,sql,2015,11,4967
873,sql,2015,12,4990
874,sql,2016,01,5287
875,sql,2016,02,5319
876,sql,2016,03,5530
877,sql,2016,04,5662
878,sql,2016,05,5754
879,sql,2016,06,6017
880,sql,2016,07,5192
881,sql,2016,08,5458
882,sql,2016,09,476
